ID,우선순위,초기 크기 추정,영역,작업,선행 작업,완료 증거,상태,담당 역할,완료 커밋,검증 결과 링크,근거 문서
B01,P0,S,기준,지원 범위·능력 행렬 확정,없음,에이전트·OS·버전별 약속 문서,제안,제품·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B02,P0,S,기준,기준 커밋·검사·증거 원장 고정,없음,실행 로그와 근거 링크,제안,제품·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B03,P0,M,저장,모든 기록 쓰기 진입점 조사,B02,앱·MCP·백필·초안 경로 지도,제안,Rust·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B04,P0,M,저장,신규 일지 두 프로세스 경쟁 재현,B03,최종 본문 보존을 검증하는 시험,제안,Rust·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B05,P0,L,저장,신규 생성 비덮어쓰기 계약 구현,B04,AT01·AT04 통과,제안,Rust·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B06,P0,L,저장,요청 ID·재시도 중복 억제,B05,AT02 및 캐시 제거 후 재시도 통과,제안,Rust·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B07,P0,M,복구,저장·색인 상태 분리,B03,AT03 통과·UI와 도구 일치,제안,Rust·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B08,P0,L,복구,장애 주입·복구 하니스,"B05,B06,B07",단계별 강제 종료 결과 보고,제안,Rust·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B09,P1,M,데이터,기록 ID·출처 스키마 설계,B03,이전 자료 호환 표와 샘플,제안,Rust·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B10,P1,M,데이터,정정·검토 버전 정책,B09,AT07 통과,제안,Rust·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B11,P1,L,데이터,점진 마이그레이션·되돌리기,B09,구·신 버전 왕복 시험,제안,Rust·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B12,P0,M,기록,누락·판정 불가 상태 계약,"B01,B07",훅·MCP·앱 상태 일치,제안,통합·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B13,P1,L,기록,사실 기반 누락 복구 흐름,B12,원출처 유지·복구 후 연결 검증,제안,통합·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B14,P1,M,기록,세션·구간 귀속 경계 시험,B12,중복 세션·재개·공동 변경 결과,제안,통합·검증,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B15,P0,M,실험,최신 에이전트 실험 설계,"B01,B02",분모·반복·실패 판정 사전 고정,제안,QA·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B16,P1,L,실험,실제 기록 실험 실행·공개,"B13,B14,B15",지원 조합별 결과와 실패 원자료,제안,QA·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B17,P1,M,계획,CAS 복구 UX·클라이언트 계약,B12,AT05와 잘못된 자동 재시도 차단,제안,Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B18,P1,M,계획,일지·계획·브랜치 연결 검증,"B09,B17",rebase·rename·아카이브 시험,제안,Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B19,P1,M,UX,첫 가치 흐름 프로토타입,"B01,B12",단계별 상태·실패·취소 설계,제안,제품·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B20,P1,L,UX,온보딩 연결 진단 구현,B19,미설치·중복·권한 오류 시험,제안,제품·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B21,P1,L,UX,Today·기본 탐색 단순화,B19,기존 기능 접근 보존·사용 과제 개선,제안,제품·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B22,P1,L,UX,일지·diff 근거·검토 표시,"B09,B10",기록과 검증을 구분하는 과제 통과,제안,제품·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B23,P1,M,접근성,핵심 키보드·IME·확대 시험,"B20,B22",핵심 과제 수행·실기기 기록,제안,프런트·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B24,P1,M,검색,실제 질문 정답 세트 구축,B01,50~100개 질문과 근거 문서,제안,Rust·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B25,P1,L,검색,필터·정확 일치·의미 검색 평가,B24,결과 품질·출처 오류 보고,제안,Rust·제품,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B26,P0,M,보안,신뢰 경계·전송 경로 목록,B03,저장·전송·실행 경계별 정책,제안,보안·Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B27,P1,L,보안,CSP 실제 웹뷰 활성화 검증,B26,AT09·예외 원장,제안,보안·Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B28,P0,L,보안,경로·링크·쓰기 탈출 시험,B26,악성 입력의 거부·원본 보존,제안,보안·Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B29,P1,L,보안,민감정보 전체 경로 검사,B26,합성 시크릿 저장·전송·로그 검사,제안,보안·Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B30,P1,M,보안,모바일·로컬 연결 경계 검증,"B01,B26",지원 시 인증·해제·바인딩 시험,제안,보안·Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B31,P0,M,배포,태그 커밋 필수 CI 성공 게이트,B02,AT10 통과,제안,릴리스·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B32,P1,S,배포,도구 체인·락파일 정책 통일,B31,CI·배포 버전 일치,제안,릴리스·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B33,P0,M,배포,서명·공증·산출물 검증,B31,실패 조건에서 공개 차단,제안,릴리스·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B34,P1,L,배포,설치·업데이트·복구 시험,"B08,B11,B33",AT11 통과,제안,릴리스·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B35,P1,M,테스트,확장 단위·호스트 검사 연결,"B01,B02",확장 테스트 실행 결과·AT12,제안,QA·통합,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B36,P1,L,테스트,핵심 네이티브 E2E 구축,"B20,B22",실제 설치본 핵심 과제 통과,제안,QA·통합,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B37,P1,M,성능,최신 기준선·측정 환경 고정,B02,콜드·웜·규모별 실행 결과,제안,Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B38,P2,L,성능,실측 병목 한정 최적화,B37,동일 자료 전후 비교·회귀 없음,제안,Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B39,P1,M,성능,장기 실행·프로세스 정리 시험,B37,메모리 추이·종료 후 자원 검사,제안,Rust·프런트,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B40,P2,M,구조,공통 오류 모델 이행,"B03,B12",기존 클라이언트 호환·복구 정보,제안,개발,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B41,P2,M,구조,변경 빈도 기반 모듈 경계 정리,B03,책임 분리·계약 테스트 유지,제안,개발,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B42,P1,M,복구,백업·캐시 재구축 사용자 경로,B08,AT08·사용자 복구 과제,제안,Rust·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B43,P1,M,검증,사용자 맥락 회수 실험,"B21,B22,B25",시간·정확도·실패 관찰,제안,제품·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B44,P1,M,검증,1~2주 복귀 사용 관찰,"B20,B43",실제 재사용·이탈 원인,제안,제품·QA,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B45,P1,S,문서,지원·제한·근거 문구 정리,"B16,B34",홍보 주장과 검증 범위 일치,제안,제품·문서,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B46,P1,M,운영,로컬 진단·장애 대응 절차,"B07,B26",민감정보 없는 진단·복구 리허설,제안,지원·개발,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B47,P1,M,평가,100점 평가표 독립 검토,"B16,B23,B27,B28,B29,B34,B36,B39,B42,B43,B44",차단 조건 해소·영역별 증거,제안,검토,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
B48,P1,S,평가,릴리스 증거 묶음·재평가 공개,"B45,B46,B47",커밋·결과·제한·다음 검토일,제안,검토,,,Ocul-PM_10점_개선_마스터보고서.md §25~26; S/M/L은 견적 전 제안
